city,province,latitude,longitude
ACHESON,AB,53.5522,-113.7627
CALGARY,AB,51.045606,-114.057541
WINNIPEG,MB,49.895537,-97.138458
MISSISSAUGA,ON,43.589623,-79.644388
BAKERSFIELD,CA,35.373871,-119.019463
BRAMPTON,ON,43.685832,-79.759937
CACTUS,TX,36.052257,-102.002399
BALZAC,AB,51.2126,-114.0076
DRAYTON VALLEY,AB,53.220555,-114.983213
SMOKY LAKE,AB,54.285772,-112.240531
STONY PLAIN,AB,53.531013,-113.99985
ROCKY VIEW,AB,51.369935,-114.014186
BRANDON,MB,49.851114,-99.960892
CHATSWORTH,CA,34.259571,-118.602325
WINKLER,MB,49.1802,-97.9391
DEVON,AB,50.72414,-3.660779
WHITECOURT,AB,54.136784,-115.654408
VERGREVILLE,AB,53.494,-112.0538
OSSIAN,IN,43.146192,-91.764664
BARRHEAD,AB,54.168867,-114.474795
DAYSLAND,AB,52.868043,-112.265681
MORDEN,MB,49.1923,-98.1143
BELLEVILLE,ON,48.817671,6.098268
ETOBICOKE,ON,43.643556,-79.565633
SHEBOYGAN FALLS,WI,43.728892,-87.81141
OXNARD,CA,34.197631,-119.180381
ST ANDREWS,MB,50.2625,-96.9842
NEEPAWA,MB,50.231935,-99.463726
DONNA,TX,26.170208,-98.052238
LAREDO,TX,27.505625,-99.507452
FOWLER,CA,36.630506,-119.678469
PORT HUENEME,CA,34.147756,-119.195156
ROCKY VIEW COUNTY,AB,51.369935,-114.014186
DELANO,CA,35.768842,-119.247053
SANTA MARIA,CA,-29.686051,-53.806921
EDINBURG,TX,55.953346,-3.188375
RED DEER,AB,52.269063,-113.814146
BROOKS,AB,50.5657,-111.8978
"CACTUS,",TX,36.052257,-102.002399
VEMILION,AB,53.3539,-110.8586
JOUSSARD,AB,55.397884,-115.952337
MANVILLE,AB,53.3402,-111.1752
PLAINFIELD,IN,41.608671,-88.205434
CAMROSE,AB,53.013131,-112.840576
QUEBEC,QC,52.476089,-71.825867
NORQUAY,SK,51.884226,-102.090746
YORKTON,SK,51.212045,-102.461243
GALVESTON,TX,29.3057,-94.793325
SELMA,CA,36.5708,-119.6121
CONRICH,AB,51.094769,-113.863159
KANKAKEE,IL,41.12539,-87.848682
LOST HILLS,CA,35.632387,-119.677707
MOTLEY,MN,46.3366,-94.6462
ATTLEBORO,MA,41.943813,-71.280652
REEDLEY,CA,36.596391,-119.451188
BRANTFORD,ON,43.140816,-80.263173
"MORRIS,",IL,33.073863,-94.73922
CITY OF INDUSTRY,CA,34.018225,-117.959306
SPRUCE GROVE,AB,53.545204,-113.903503
MIAMI,MB,25.774173,-80.19362
MENDOTA,CA,44.887188,-93.164387
GRAND ISLAND,NE,40.924271,-98.338685
GREELEY,CO,38.457036,-101.818501
RIVERTON,MB,46.459964,-94.051933
WETASKIWIN,AB,52.968492,-113.36792
VIKING,AB,53.097288,-111.777147
ATHABASCA,AB,54.721454,-113.285794
TOFIELD,AB,53.369913,-112.668654
MAYERTHORPE,AB,53.952367,-115.13841
SURREY,BC,49.1913,-122.8490
EDMONTON,AB,53.546205,-113.491241
SALINAS,CA,36.674412,-121.655037
TRACY,CA,37.72067,-121.427785
"OXNARD,",CA,34.197631,-119.180381
FRESNO,CA,36.739442,-119.78483
GUADALUPE,CA,16.252883,-61.568686
CAMBRIDGE,ON,52.205531,0.118664
JACKSON,TN,32.299869,-90.183041
"SAN JUAN BAUTISTA,",CA,39.076128,1.509173
MURFREESBORO,TN,35.84604,-86.39211
KILLAM,AB,52.792978,-111.854941
CUTLER,CA,38.032273,-89.565651
SANJ UAN BAUTISTA,CA,36.8455,-121.538
OLIVEHURST,CA,39.095371,-121.551775
UNION,ON,37.461645,-89.250479
BEDFORD PARK,IL,41.769052,-87.77701
"BROWNSBURG,",IN,39.843695,-86.397012
LIVINGSTON,CA,42.592456,-83.914793
TORRANCE,CA,33.837139,-118.341361
CASTROVILLE,CA,29.3565,-98.878884
TORONTO,ON,43.653482,-79.383935
STANLEY,MB,-51.693062,-57.856525
GRAWN,MI,44.660578,-85.692871
BEAUMONT,TX,30.086046,-94.101846
BROOKLYN,NY,40.652601,-73.949721
MARINA,CA,43.513915,16.10922
SOMIS,CA,34.257226,-118.996212
FULLERTON,CA,33.870821,-117.929416
WATKINS GLEN,NY,42.381056,-76.870578
RIO RICO,AZ,31.471483,-110.976477
FIREBAUGH,CA,36.858838,-120.456007
"SALINAS,",CA,36.674412,-121.655037
NATIONAL CITY,CA,32.678109,-117.099197
DE PERE,WI,44.449358,-88.059999
EVANSVILLE,IN,37.970495,-87.571564
CROWS LANDING,CA,37.393824,-121.071598
FARMINGDALE,NY,40.732881,-73.445856
BRANTFORD`,ON,43.140816,-80.263173
WINNINPEG,MB,49.8954,-97.1385
HICKORY,NC,37.959055,-93.333475
SIBLEY,IA,44.560352,-94.208568
CHICAGO HEIGHTS,IL,41.506283,-87.635708
HIGH RIVER,AB,50.580192,-113.870933
PERU,IL,-6.86997,-75.045851
ADDISON,IL,41.931696,-87.988956
PORT BURWELL,ON,60.415406,-64.817512
ATWATER,CA,37.347717,-120.609084
LODI,CA,45.26131,9.491678
BRISTOL,IN,51.453802,-2.597298
MCALLEN,TX,26.204114,-98.23006
LANSDOWNE,PA,29.79641,78.751471
MODESTO,CA,37.639342,-120.996889
CARTERET,NJ,34.849663,-76.593121
AGUILA,AZ,33.938288,-113.167519
GONZALES,CA,29.443655,-97.510864
FONTANA,CA,34.092295,-117.43433
MORRIS,MB,33.073863,-94.73922
CHICO,CA,39.728494,-121.837478
SEABROOK,NH,29.56332,-95.019723
WARREN,IN,36.390169,-78.105212
ALLIANCE,AB,42.09719,-102.870715
OAKBANK,MB,-34.983913,138.843976
TOLEDO,OH,39.85606,-4.023936
MASKWACIS,AB,52.834548,-113.450681
RICHMOND,BC,49.1666,-123.1336
NOGALES,AZ,38.586581,-6.74917
SWEET GRASS,MT,45.872939,-109.950395
MEMPHIS,TN,35.146025,-90.051764
PASCO,WA,-10.5,-75.25
NEW YORK,NY,40.712728,-74.006015
COKATO,MN,45.075043,-94.190367
SUGAR LAND,TX,29.619679,-95.634946
DETROIT,MI,42.331551,-83.04664
YUMA,AZ,32.723268,-114.617995
DEFOREST,WI,43.247769,-89.343728
HACKENSACK,MN,40.887144,-74.041087
HERMISTON,OR,45.84041,-119.28946
AKRON,OH,41.083064,-81.518485
WESTERVILLE,OH,40.126139,-82.929529
PLUM COULEE,MB,49.187988,-97.76705
HIDALGO,TX,26.353026,-98.216445
HARRISBURG,PA,40.266311,-76.886112
WILMINGTON,DE,39.745947,-75.546589
BRAWLEY,CA,32.978657,-115.530267
MARCHAND,MB,14.004019,-60.984907
REGINA,SK,50.447973,-104.615876
MONROVIA,MD,6.328034,-10.797788
AUBURN,WA,47.307537,-122.230181
BLAINE,WA,48.402394,-108.966441
BRONX,NY,40.846651,-73.878594
MUNDARE,AB,53.588653,-112.348903
PEMBINA,ND,48.753079,-97.553283
SAN DIEGO,CA,32.71742,-117.162772
JESSUP,MD,39.147001,-76.769918
DELTA,BC,49.0952,-123.0265
OCEANO,CA,41.901043,12.483284
WATSONVILLE,CA,36.909277,-121.752907
FOREST GROVE,OR,45.51904,-123.111055
HILLSBOROUGH,NJ,27.918454,-82.348806
REESEVILLE,WI,43.304994,-88.844828
SAN JUAN,TX,18.465299,-66.116666
EDISON,CA,40.518157,-74.411393
LE MARS,IA,42.792151,-96.166299
EL PASO,TX,31.760116,-106.48704
HEADINGLEY,MB,53.821008,-1.577774
WINDSOR,CO,42.285854,-82.97807
LA MIRADA,CA,33.906097,-118.010709
LAVAL,QC,45.605589,-73.73456
PHARR,TX,26.194796,-98.183622
STURGEON COUNTY,AB,53.84223,-113.540655
QUINCY,FL,42.250991,-71.003737
LOGAN TOWNSHIP,NJ,44.288768,-83.944056
SHELBY,MT,39.366506,-88.788628
BURLINGTON,ON,44.47616,-73.212906
SEATTLE,WA,47.603832,-122.330062
PORT COQUITLAM,BC,49.262164,-122.780542
QUINCY,WA,42.250991,-71.003737
LOS ANGELES,CA,34.053691,-118.242766
JOLIET,IL,41.52636,-88.084021
RICHMOND,IN,39.8289,-84.8902
BLUMENORT,MB,49.6079,-96.6935
STOUGHTON,MA,42.916739,-89.2179
KITCHENER,ON,43.451291,-80.492782
SPRING,TX,30.079571,-95.418792
HIGH PRAIRIE,AB,55.435892,-116.489479
"WINNIPEG,",MB,49.895537,-97.138458
RICHGROVE,CA,35.796806,-119.106622
SPRECKELS,CA,36.62423,-121.646986
NOTRE DAME DE LOURDES,MB,46.092598,-73.44404
ST. ALBERT,AB,53.633239,-113.628845
SAN JUAN BAUTISTA,CA,39.076128,1.509173
ORILLIA,ON,44.606614,-79.416926
SANTA FE SPRINGS,CA,33.948079,-118.06915
MISSION,TX,26.215907,-98.325293
CRAWFORDSVILLE,IN,40.040199,-86.899025
ST. BRUNO,QC,54.034306,21.761227
PARMA,ID,44.801368,10.328083
VERNON,CA,34.0039,-118.2301
HUNTLEY,IL,42.17225,-88.42692
DINUBA,CA,36.543284,-119.387066
MILLERSBURG,OH,41.573425,-92.159902
POMPANO BEACH,FL,26.23786,-80.124767
LONG BEACH,CA,33.769016,-118.191604
TISDALE,SK,52.850059,-104.048767
NIAGARA FALLS,NY,43.08436,-79.061469
GREEN BAY,WI,44.512638,-88.012579
COACHELLA,CA,33.671147,-116.134235
RIDGEWOOD,NY,40.979668,-74.11944
UPS CALEDON,ON,43.768371,-79.804127
SALEM,OR,44.939157,-123.033121
EL CENTRO,CA,32.792,-115.563051
"BEAUSEJOUR,",MB,50.061931,-96.514082
CONCORD,ON,43.207178,-71.537476
KENNETT SQUARE,PA,39.846741,-75.7117
SODUS,NY,43.237843,-77.061362
HOSKIE,NY,30.873281,-85.166653
TERA BELLA,CA,14.242495,1.085836
BROOK,IN,50.925456,-1.613984
ABBOTSFORD,BC,49.052116,-122.329479
PORTAGE LA PRAIRIE,MB,49.972422,-98.289185
HOLTVILLE,CA,32.813921,-115.378107
RIO GRANDE,TX,29.74434,-102.67467
BURTON,OH,52.802742,-1.629917
CLEVELAND,OH,41.499657,-81.693677
TERRA BELLA,CA,35.960622,-119.035847
RIVERSIDE,CA,33.982495,-117.374238
ST LOUIS,MO,38.628028,-90.191015
TOUGHKENAMON,PA,39.831499,-75.757439
BEAUMONT,AB,53.3521,-113.4151
ROCKFORD,IL,42.271394,-89.093966
MONROE,OH,41.040042,-75.324947
SUSSEX,WI,41.133372,-74.693039
FREEPORT,TX,26.535681,-78.695362
LIVONIA,MI,42.36837,-83.35271
ROGERS,AR,36.333015,-94.116628
HOTVILLE,CA,34.010706,-118.338848
BOLINGBROOK,IL,41.70033,-88.071771
SANTA PAULA,CA,34.354166,-119.05927
CHATHAM,ON,31.966889,-81.062601
THORNHILL,MB,43.809868,-79.483423
GUELPH,ON,43.546052,-80.249328
ROSSER,MB,32.46264,-96.453319
WOODBRIDGE,ON,38.636152,-77.267836
GRAND BEND,ON,43.312664,-81.757816
PORTERVILLE,CA,36.06523,-119.016768
BRUNKILD,MB,49.592437,-97.573786
AURORA,ON,41.75717,-88.314754
CORNWALL,ON,50.443349,-4.624657
"BARSTOW,",CA,34.898621,-117.024431
VALDOSTA,GA,30.832702,-83.278485
MONROE,WI,41.040042,-75.324947
DEARBORN HEIGHTS,MI,42.336982,-83.273263
ALLEN,TX,36.752896,-86.19241
TOLLESON,AZ,33.45005,-112.259309
ENDINBURG,TX,26.3017,-98.1633
DEL RAY,CA,38.825403,-77.058504
PRESCOTT,WA,34.539984,-112.468812
LITITZ,PA,40.157132,-76.307162
ROLAND,MB,53.075906,8.807326
CARBERRY,MB,49.869327,-99.361582
MONEE,IL,41.420034,-87.741711
SAGINAW,TX,43.332688,-84.04684
DOMINGUEZ HILLS,CA,33.862614,-118.257374
HOUSTON,TX,29.758938,-95.367697
BILLINGS,MT,45.787496,-108.49607
HODKINS,IL,51.242421,-118.947931
PASADENA,TX,34.147651,-118.144155
SAN ANTONIO,TX,29.4246,-98.495141
ROCKMART,GA,34.0026,-85.041613
MANTECA,CA,37.798618,-121.211715
SPOKANE VALLEY,WA,47.65711,-117.261394
LEBANON,PA,40.375713,-76.462612
ORANGE COVE,CA,36.624394,-119.31373
MISSISSUGA,ON,43.5853,-79.645
SWEETGRASS,MT,33.449663,-79.117857
ELMA,MB,43.244247,-92.43634
CLARKSTON,MI,42.735863,-83.41883
VASSAR,MB,43.371968,-83.583292
SPRINGDALE,OH,36.186744,-94.128814
DEER PARK,NY,42.160859,-88.081465
MASSILLION,OH,18.234305,-72.530861
PLEASANT PRAIRIE,WI,42.526972,-87.854457
CHELSEA,MA,51.487517,-0.168701
OTHELLO,WA,46.825974,-119.175291
LAMONT,CA,53.783451,-112.447814
LONDONDERRY,NH,54.997868,-7.321306
MINONG,WI,48.007382,-88.828988
BAYTOWN,TX,29.735505,-94.977427
MARICOPA,AZ,33.34883,-112.49123
PARAGOULD,AR,36.058402,-90.497329
HORSEHEAD,NY,33.109856,-93.263779
JONESBORO,AR,35.827226,-90.694987
ROSENORT,MB,54.401098,19.725383
WHITBY,ON,54.487414,-0.615511
UPPER MARLBORO,MD,38.816245,-76.751708
FORT ERIE,ON,42.91308,-78.918611
FULTONVILLE,NY,42.947836,-74.369908
LA PUENTE,CA,40.946934,-4.117025
FARMING DALE,NY,43.929989,-102.893787
SCOTTSDALE,AZ,33.494219,-111.926018
THUNDER BAY,ON,48.406414,-89.259796
TWIN FALLS,ID,42.555854,-114.470068
POSOS,SLP,5.585912,-73.547931
COMMERCE,CA,34.003218,-118.154196
WEST SALEM,WI,38.520883,-88.004756
OLDS,AB,41.133458,-91.545133
NOPOMO,CA,35.0428,-120.476
NORTH ANDOVER,MA,42.683989,-71.112707
LONDON,ON,51.507446,-0.127765
DEVENS,MA,42.538951,-71.609436
DANVILLE,IL,40.125222,-87.630461
SAULT STE. MARIE,ON,46.512655,-84.33303
ST. GABRIEL,LA,30.257695,-91.099271
LETHBRIDGE,AB,49.694578,-112.833103
SASKATOON,SK,52.131802,-106.660767
ALLENTOWN,PA,40.602206,-75.471279
SCOTIA,NY,56.786111,-4.114052
WINNIPEG,AB,49.895537,-97.138458
DARIEN,WI,41.078708,-73.469287
WESLACO,TX,26.15943,-97.990736
IMMOKALEE,FL,26.425791,-81.425601
JOHNSON CITY,NY,36.31344,-82.353473
"BAKERSFIELD,",CA,35.373871,-119.019463
SPERLING,MB,59.224561,11.011929
DANVERS,MA,42.566751,-70.936831
RAPID CITY,MB,44.080604,-103.228023
SAUK VILLAGE,IL,41.488368,-87.567541
KING CITY,CA,36.213532,-121.128642
BELLE GLADE,FL,26.68451,-80.667558
HAMPTON,IA,37.026441,-76.344285
BOSTON,MA,42.355433,-71.060511
MASPETH,NY,40.723158,-73.912637
RICHER,MB,49.657284,-96.456656
EAU CLAIRE,WI,44.811349,-91.498494
SUNNYSIDE,MB,47.859583,-53.920954
HOUSTON,MS,29.758938,-95.367697
ALIQUIPPA,PA,40.610239,-80.267726
GARLAND,TX,32.912624,-96.638883
CLEWISTON,FL,26.754231,-80.933675
MEDICINE HAT,AB,50.04303,-110.679016
NORTON,MA,39.79447,-99.910003
JEAN,NV,35.779008,-115.324314
PENJAMO,GTO,30.385805,-111.175049
ALEXANDRIA,MN,44.834953,8.74503
BERTHIERVILLE,QC,46.08281,-73.17471
CHICAGO,IL,41.875562,-87.624421
KENT,WA,51.207075,0.721036
SAUGET,IL,38.590186,-90.169275
STOCKTON,CA,37.957702,-121.290779
BOLTON,ON,43.8742,-79.7307
GREAT FALLS,MT,47.504885,-111.29189
PRINCETON,ON,40.349695,-74.659738
SCHILLER PARK,IL,41.955864,-87.870897
ALBERTA,AB,55.001251,-115.002136
HEBRON,OH,31.528902,35.094487
DENVERS,MA,45.104465,-105.998761
SOLWAY,MN,47.519954,-95.129176
PORT LAVACA,TX,28.614997,-96.626089
SHELBURNE,VT,43.763954,-65.321384
FORT WAYNE,IN,41.07999,-85.138601
OXNARD,AB,34.197631,-119.180381
GREENFIELD,NB,42.587634,-72.600207
THERMAL,CA,33.640301,-116.139449
SOLEDAD,CA,36.426921,-121.327186
CASCOM,FL,37.225324,-77.332245
RICEBORO,GA,31.735494,-81.433441
NEWBERRY,FL,34.326688,-81.583009
LOUISVILLE,KY,38.254238,-85.759407
FLINT,MI,43.016169,-83.690021
COUNCIL BLUFFS,IA,41.258841,-95.851948
LEAMINGTON,ON,52.291339,-1.536404
KALAMAZOO,MI,42.291707,-85.587229
NIPOMO,CA,35.035822,-120.496419
TONOPAH,AZ,38.100063,-117.225061
CALIPATRIA,CA,33.125596,-115.514153
WADDELL,AZ,33.564302,-112.444766
LK ORION,MI,6.940693,79.879323
CAMILLA,CA,31.231289,-84.210373
MOOSE JAW,SK,50.401515,-105.542908
DECATUR,IL,40.741823,-93.799419
RANCHO CUCAMONGA,CA,34.103319,-117.575173
CRANBROOK,BC,49.510748,-115.767277
TRENTON,FL,40.220307,-74.7659
HEADLINGLEY,MB,49.89877,-97.356765
IRON CITY,GA,35.023972,-87.581413
FAISON,NC,35.11647,-78.136657
BROOKVILLE,PA,40.813155,-73.567348
"GROVETOWN,",GA,33.450416,-82.198176
SEBEWAING,MI,43.732347,-83.45134
CONTOOCOOK,NH,43.22241,-71.713547
PEABODY,MA,42.527873,-70.928661
SALINA,KS,38.84028,-97.611424
NOGALAS,AZ,29.809409,-81.305374
TROY,MO,38.9795,-90.9807
RICHMOND,ON,45.1944,-75.8388
KIRKWOOD,NY,38.580071,-90.406918
MCALPIN,FL,37.691781,-81.27788
BAINBRIDGE,GA,30.903825,-84.575477
TROY,NY,42.7284,-73.6918
JACKSONVILLE,TX,30.332184,-81.655651
SAN JOSE,CA,37.336166,-121.890591
KINGSBURG,CA,36.51384,-119.553893
TOWNSHIP,NJ,2.245286,32.329583
NEWMARKET,ON,44.056258,-79.461708
PLYMOUTH,MN,50.371412,-4.142445
ARABI,GA,22.374251,49.477089
BAKERFIELD,CA,30.582132,-91.178719
ANDERSONVILLE,GA,32.195995,-84.139909
COLUMBUS,NE,39.96226,-83.000707
GREEN ISLAND,NY,10.405337,107.099016
ROCHESTER,WA,43.157285,-77.615214
COLUMBUS,WI,39.96226,-83.000707
ELOY,AZ,32.75517,-111.553493
ARVIN,CA,35.209129,-118.828431
WINFIELD,KS,37.239749,-96.995592
HORNERSVILLE,MO,36.041736,-90.113983
LAURENS,IA,32.423997,-82.938894
CORDELE,GA,31.969161,-83.782718
BROXTON,GA,53.084194,-2.777896
QUEMADO,TX,-24.759475,-66.415189
SIOUX FALLS,SD,43.547601,-96.729363
SOUTH SIOUX CITY,NE,42.474296,-96.413591
COLUMBIA CITY,IN,41.156928,-85.488462
MISSOURI CITY,TX,29.618567,-95.537722
GRAND VIEW,WA,34.419746,-112.823237
SURPRISE,AZ,33.629247,-112.368143
BOW ISLAND,AB,49.870168,-111.378949
LODGE,SC,64.267575,-50.584823
KENTWOOD,MI,42.869473,-85.644749
TURLOCK,CA,37.494657,-120.846594
HAMPTON,NH,37.026441,-76.344285
SEVEN SPRINGS,NC,40.02313,-79.297255
JAMESBURG,NJ,40.352608,-74.440151
WAYLAND,NY,41.147206,-91.660831
WILLOW SPRINGS,MO,41.740231,-87.858696
NORWICH,ON,52.628558,1.292395
NEW PHILADELPHIA,OH,40.489787,-81.445671
LANCASTER,TX,40.08067,-76.241128
SNOCK,TX,-29.688996,-53.803151
ORANGECOVE,CA,36.6244,-119.3137
KANSAS CITY,KS,39.100105,-94.578142
NORCROSS,GA,33.941213,-84.213531
MUSCATINE,IA,41.477612,-91.121005
VARDAMAN,MS,33.875669,-89.17729
CORNING,CA,42.143526,-77.054341
EAST HARTFORD,CT,41.767914,-72.644512
ELKWOOD,VA,34.977586,-86.72361
VINCENNES,IN,48.847451,2.439671
NORTH PROSSER,WA,46.232258,-119.768303
CHARLOTTE,NC,35.227209,-80.843083
EARLIMART,CA,35.879972,-119.272596
JONESTOWN,PA,7.688563,-59.949892
SANDWICH,IL,51.275253,1.340831
WYOMING,MI,43.170026,-107.568534
MARYSVILLE,WA,48.051743,-122.176821
OAKTOWN,IN,38.871156,-87.441408
GRAND PRAIRIE,TX,32.745964,-96.997785
GRAND CACHE,AB,53.8886,-119.1143
BATTLEBORO,NC,36.049042,-77.749143
OAKWOOD VILLAGE,OH,43.687143,-79.438686
VANDERHOOF,BC,54.017529,-124.007663
SPRINGFIELD,VA,39.799017,-89.643957
LAKELAND,FL,28.039465,-81.949804
LOMPOC,CA,34.63915,-120.457901
PROTAGE LAPRAIRIE,MB,49.9731,-98.2925
LIBERTY,MO,30.085674,-94.785626
HOPLAND,CA,38.972954,-123.116392
HOWELL,MI,36.766989,-91.915198
MELROSE PARK,IL,41.900299,-87.856975
CLACKAMAS,OR,45.160882,-122.230504
SOMERSET,NJ,51.161751,-3.075387
"SAN JUAN,",TX,18.465299,-66.116666
KELOWNA,BC,49.887918,-119.495902
WEST CHICAGO,IL,41.884751,-88.203961
CENTERVILLE,IA,31.257822,-95.97853
COLUMBUS,OH,39.96226,-83.000707
GALESBURG,IL,40.947565,-90.371217
ST ALBERT,AB,53.633239,-113.628845
LINN,TX,39.865235,-93.1104
HAY LAKES,AB,53.197228,-113.055219
"HAMILTON,",ON,43.25608,-79.872858
VERNON HLS,IL,42.220489,-87.98036
BRIDGETON,NJ,38.756605,-90.42352
CLARION,IA,41.181877,-79.429169
HEATH,OH,32.836515,-96.474987
LINDEN,CA,50.601953,7.850483
EVERETT,MA,47.979344,-122.212701
GLENWWOD ALBERTA BEACH,AB,49.3653,-113.5163
QUERETARO,QR,20.805222,-99.883738
MARYVILLE,TN,40.346047,-94.872386
PRICE,QC,45.676627,-90.368792
EXETER,ON,50.725614,-3.526921
MIAMI,FL,25.774173,-80.19362
WILMINGTON,IL,39.745947,-75.546589
NORWICH,CT,52.628558,1.292395
AUBURN HILLS,MI,42.687532,-83.234103
"SHERBROOKE,",QC,45.403271,-71.889038
CHATTANOOGA,TN,35.045722,-85.309488
NEWARK,NJ,40.735657,-74.172367
ONTARIO,CA,50.000678,-86.000977
WAUKESHA,WI,43.062254,-88.312389
ROCHESTER,IN,43.157285,-77.615214
ALTONA,MB,53.586467,9.777671
DEL REY,CA,36.655991,-119.598934
COWICHE,WA,46.669847,-120.712293
SYRACUSE,NY,43.048122,-76.147424
ORLANDO,FL,28.542111,-81.37903
NORTH BAY,ON,46.309212,-79.460762
HAMILTON TOWNSHIP,NJ,42.113679,-86.050156
QUERETARO,SRJ,20.805222,-99.883738
OSAGE,IA,38.463728,-91.870839
VINELAND,NJ,39.486278,-75.025426
HOUGHTON,MI,46.859129,-88.777473
SWEDESBORO,NJ,39.747614,-75.310465
BELVIDERE,IL,42.257999,-88.841734
SAINT-LAURENT,QC,45.5023,-73.7061
VAL-DES-SOURCES,QC,45.776623,-71.932297
DAVENPORT,IA,41.523581,-90.577097
VAUDREUIL-DORION,QC,45.397151,-74.025458
KINGSVILLE,ON,27.515869,-97.856109
ANNISTON,AL,33.662482,-85.828322
CHINO,CA,34.013356,-117.690075
MILTON,ON,42.250143,-71.065573
COQUITLAM,BC,49.284296,-122.793281
NORTH YORK,ON,43.754331,-79.449109
TWO HILLS,AB,53.691979,-111.542109
ARCHBOLD,OH,41.521133,-84.306547
HATFIELD,PA,51.763467,-0.225874
FAIRMONT,MI,43.652178,-94.461083
OAKVILLE,ON,43.447436,-79.666672
KING GEORGE,VA,38.278631,-77.175356
LONG ISLAND CITY,NY,40.745532,-73.948499
MICHIGAN CITY,IN,41.707539,-86.89503
AUBINGY,MB,49.4582,-97.2465
NAPERVILLE,IL,41.77287,-88.147928
SCARBOROUGH,ON,54.282001,-0.401187
ROCKLAND,MA,41.151932,-74.035727
ANTIOCH,IL,38.004921,-121.805789
LANCASTER,PA,40.08067,-76.241128
FORT WORTH,TX,32.753177,-97.332746
GOLDEN,BC,39.754635,-105.22058
BRIGHTON,CO,50.821463,-0.140056
REDLANDS,CA,34.055033,-117.182744
WALLA WALLA,WA,46.066728,-118.339345
STONY MOUNTAIN,MB,36.338426,-83.169058
BRIDGEWATER,MA,44.377413,-64.519395
TAMPA,FL,27.94776,-82.458444
BALTIMORE,OH,39.290882,-76.610759
WATERDOWN,ON,43.331416,-79.89568
